#{"t_start": 1695258136.61003, "env_id": "UR5ObsReach-v1"}
r,l,t
-907.866508,10,316.358542
-991.952463,8,316.38691
-930.244845,9,316.405746
-831.993756,8,316.420272
-857.334942,3,316.43048
-1027.156835,7,316.453465
-903.008311,8,316.470922
-1981.665796,43,316.552761
-870.126377,3,316.566868
-751.080127,11,316.612459
-921.176189,8,328.497609
-969.897055,8,328.514376
-779.397794,9,328.541953
-826.706644,3,328.561367
-1052.590836,8,328.587207
-1136.09803,20,328.643248
-892.866464,3,328.657802
-931.132166,7,328.680766
-827.847155,3,328.691044
-823.973154,3,328.707066
-924.461535,11,340.565323
-873.562768,3,340.583583
-1010.452239,7,340.609686
-903.637521,8,340.642269
-782.512806,8,340.663305
-952.43377,8,340.694069
-968.605031,10,340.729441
-863.760778,3,340.750659
-1028.493929,9,340.776887
-985.734619,14,340.820616
-1008.903892,13,352.728312
-817.097859,11,352.771702
-964.851688,8,352.803932
-938.960717,8,352.841035
-1008.937502,8,352.867761
-896.824459,8,352.891167
-809.972231,3,352.91101
-933.310924,8,352.934749
-801.549923,8,352.953962
-923.0589,8,352.984806
-883.862646,9,364.864917
-872.027225,7,364.90277
-985.100442,9,364.932872
-902.772177,3,364.954376
-994.240598,13,364.98861
-895.654872,9,365.013529
-1042.675031,10,365.049542
-962.282877,8,365.083067
-779.699136,7,365.1233
-887.361641,11,365.15558
-874.573581,3,376.748305
-1069.2459,6,376.773988
-1030.967383,10,376.810776
-798.760409,3,376.830513
-1013.598439,10,376.860395
-178.989148,9,376.891022
-944.958255,9,376.923723
-889.363397,3,376.949333
-933.688976,8,376.976189
-890.327265,9,377.017007
-809.701445,8,388.822871
-818.771894,10,388.861423
-966.953396,12,388.896722
-844.129482,8,388.915262
-852.80805,3,388.926181
-973.260909,12,388.955925
-825.406872,3,388.974125
-918.316856,8,388.999954
-811.007949,10,389.025138
-739.956245,2,389.03905
-798.058757,9,400.761859
-941.860492,3,400.785932
-836.487906,8,400.813445
-819.777598,8,400.847856
-1287.212873,11,400.883461
-809.605144,3,400.90135
-976.922378,7,400.924835
-1020.2002,9,400.948232
-1099.992836,10,400.979562
-812.376501,11,401.018075
-917.665313,9,412.586594
-787.617667,4,412.599388
-984.614319,9,412.626307
-848.337405,3,412.644406
-997.842498,13,412.68015
-1009.795641,9,412.704019
-885.752306,3,412.728806
-843.060794,3,412.74336
-1041.894109,14,412.781712
-786.01648,3,412.79393
-940.45943,3,424.439198
-230.690833,9,424.465949
-974.743716,8,424.496651
-723.637276,2,424.502535
-794.037112,3,424.520818
-919.014885,9,424.547665
-861.998798,3,424.572747
-1077.164477,12,424.602959
-982.649181,11,424.635015
-886.763382,18,424.697196
-953.95485,9,436.076291
-930.064143,12,436.112982
-1148.600285,10,436.142543
-831.145384,3,436.163755
-1006.966615,8,436.188955
-950.325174,9,436.211784
-838.113902,3,436.232141
-940.937022,4,436.251985
-793.645447,9,436.276155
-1040.863492,9,436.307773
-897.211505,7,447.914808
-808.598866,3,447.924107
-989.71117,13,447.962669
-1125.495291,15,447.998794
-931.297099,8,448.017504
-895.363769,9,448.054487
-831.083252,9,448.084483
-916.246905,13,448.127456
-778.567153,11,448.15454
-1002.777296,11,448.197186
-942.676061,8,459.758439
-829.583226,3,459.767395
-97.11871,7,459.793716
-832.085304,3,459.818385
-923.638852,9,459.846354
-784.489833,3,459.868281
-905.288721,8,459.894509
-736.352973,2,459.914965
-804.258389,3,459.93493
-777.086259,2,459.947984
-971.246732,9,471.70598
-839.14449,7,471.735803
-951.536483,9,471.756514
-825.095475,4,471.783602
-832.006251,7,471.805673
-917.486322,9,471.844738
-989.039939,12,471.876279
-894.165729,11,471.910068
-923.034238,9,471.93922
-243.422292,10,471.982487
-949.024873,7,483.393342
-956.106667,9,483.413141
-877.838901,10,483.447253
-1062.605278,15,483.496218
-931.256301,11,483.536281
-969.476392,8,483.56904
-1043.262587,10,483.599045
-1217.143915,18,483.644582
-1296.238125,17,483.677706
-833.221823,7,483.693359
-869.881304,8,495.390253
-963.300748,4,495.416953
-765.152079,2,495.428137
-925.214956,7,495.453963
-858.082309,7,495.471271
-959.483646,9,495.489702
-866.560718,9,495.527024
-849.279658,3,495.547783
-813.691933,2,495.561754
-98.203291,9,495.589953
-855.128852,3,507.174225
-1093.208298,10,507.202696
-922.328076,9,507.233257
-987.557189,10,507.270597
-998.628156,15,507.309871
-970.083705,11,507.341403
-814.812415,3,507.356567
-828.789149,3,507.373605
-880.57593,12,507.417176
-153.608144,9,507.45695
-924.242736,16,518.973419
-965.172418,9,518.996119
-785.377504,3,519.016856
-1441.973843,28,519.074884
-1005.013241,11,519.101735
-1138.277858,22,519.150942
-1076.185801,16,519.195896
-860.668176,3,519.220789
-1695.546803,41,519.313544
-961.642339,11,519.355288
-731.313263,2,530.774825
-785.609426,2,530.791748
-756.645055,10,530.824111
-721.951234,2,530.842885
-1100.223595,7,530.866675
-814.851464,3,530.876668
-1193.455145,20,530.923569
-860.576396,11,530.958647
-831.937037,8,530.985147
-1044.457185,10,531.006445
-916.741954,3,542.254692
-904.125173,8,542.278085
-803.192482,3,542.28759
-1236.71675,40,542.380292
-958.363838,11,542.42051
-890.367861,8,542.44953
-922.283163,8,542.48962
-787.654815,3,542.506911
-946.395792,7,542.528702
-1084.286523,12,542.556307
-86.345035,9,553.957776
-746.180514,3,553.979008
-814.440317,3,553.996931
-849.267086,3,554.011954
-1022.783024,13,554.046804
-902.43467,3,554.062495
-1172.974996,14,554.101389
-853.728942,3,554.117314
-803.924214,3,554.132322
-808.554531,3,554.148949
-826.415839,3,565.658415
-1896.894198,43,565.74801
-795.441338,3,565.756666
-831.017195,3,565.77431
-1909.46146,35,565.861712
-131.928265,8,565.880236
-676.915085,2,565.887822
-1150.752322,12,565.920835
-1063.475706,16,565.968218
-934.394818,7,566.002682
-630.630839,7,577.10447
-1001.010496,7,577.123066
-869.458564,8,577.140193
-906.600562,7,577.155197
-739.158391,3,577.165186
-823.797415,3,577.18218
-931.546393,3,577.198138
-1310.584577,17,577.244056
-2763.651624,100,577.441781
-1080.918058,9,577.481553
-1123.118765,12,588.473144
-869.894155,7,588.498624
-817.617119,3,588.507928
-837.590262,7,588.531937
-845.100567,13,588.567645
-847.36073,11,588.608213
-977.219948,13,588.6498
-1145.41243,14,588.689364
-838.961136,3,588.71052
-187.613593,11,588.73885
-991.244558,10,599.796846
-823.510738,6,599.821872
-821.631547,3,599.83438
-1215.866441,18,599.882866
-916.518938,12,599.916489
-1024.446468,12,599.952517
-849.116956,9,599.978353
-648.935982,8,600.009408
-1181.349776,17,600.040908
-749.795076,2,600.04945
-1609.024259,100,611.291681
-848.725931,8,611.318579
-1174.264379,12,611.343437
-995.129864,10,611.372882
-1053.740335,11,611.407475
-1421.578487,100,611.603959
-1075.770875,12,611.642012
-1077.432334,17,611.689795
-936.176446,18,611.739601
-799.361418,3,611.761357
-794.062421,3,622.904704
-3271.22557,56,623.023776
-938.751819,12,623.050891
-1968.667712,100,623.249178
-841.0198,10,623.282818
-2048.196861,67,623.426864
-824.169974,3,623.437901
-1308.564853,17,623.475554
-810.085661,3,623.489388
-1306.019798,27,623.557951
-1382.841174,39,634.515499
-1045.551094,8,634.541239
-914.603542,9,634.576282
-392.1708,23,634.632171
-1231.297092,19,634.676325
-1166.998354,20,634.73393
-1100.414543,14,634.772364
-1439.531522,100,634.957258
-183.347697,10,634.992735
-924.50787,13,635.038556
