#{"t_start": 1693881991.4190536, "env_id": "UR5ObsReach-v1"}
r,l,t
-998.600803,12,289.566439
-1000.667338,10,289.595241
-932.32363,9,300.933135
-942.068083,10,300.970944
-964.396526,10,301.005972
-693.102978,7,301.031904
-891.017841,10,301.052399
-964.512508,7,301.079304
-910.085516,8,301.099285
-888.364262,6,301.130188
-945.859993,10,301.152611
-1029.017384,10,301.186184
-969.897438,9,312.745811
-70.121514,6,312.771462
-139.801065,6,312.78823
-1062.971037,9,312.814595
-837.772484,7,312.842389
-838.141525,7,312.877443
-911.503956,10,312.914284
-73.182566,6,312.937659
-991.678423,9,312.962431
-884.118523,6,312.991354
-108.073543,7,324.353163
-969.003899,10,324.389584
-1033.599821,10,324.42862
-843.075379,7,324.449158
-951.790525,10,324.473621
-881.501011,8,324.500818
-171.61388,6,324.515182
-1029.914195,9,324.535976
-957.340021,10,324.572824
-912.362079,10,324.605339
-926.506668,9,335.614663
-810.47803,7,335.642541
-78.02473,7,335.658284
-1033.355936,10,335.683443
-953.20553,9,335.712481
-1022.732454,10,335.747864
-897.104817,11,335.782863
-853.649549,8,335.810974
-786.915781,10,335.832249
-962.588778,9,335.8634
-127.583778,6,347.03214
-951.738056,9,347.059125
-922.257547,10,347.0972
-160.149706,6,347.120647
-996.805458,11,347.141367
-895.026189,8,347.171839
-18.443348,6,347.199269
-936.903221,8,347.221121
-897.799189,11,347.259267
-142.625671,5,347.280611
-922.652443,11,358.786282
-929.738097,10,358.817745
-936.364045,9,358.852218
-862.202427,10,358.884367
-837.055824,7,358.912417
-877.511792,9,358.934825
-933.098639,9,358.967819
-887.005816,8,359.001267
-872.155517,10,359.037572
-993.768924,10,359.069094
-691.725794,7,370.524943
-971.889511,10,370.56086
-684.093433,8,370.591285
-851.722715,7,370.620407
-233.196239,7,370.637023
-922.535936,10,370.663357
-983.767797,11,370.695606
-999.975035,8,370.727023
-275.496359,8,370.756838
-920.286461,8,370.772605
-58.766005,5,382.161973
-863.019517,8,382.189028
-1070.289517,9,382.221496
-1528.302464,14,382.268608
-1023.964434,11,382.305525
-1175.362841,12,382.344752
-148.6059,7,382.365816
-87.166016,6,382.380654
-914.258265,11,382.408683
-919.166339,8,382.434602
-1061.2245,10,394.016383
-893.146784,7,394.044644
-1104.032606,10,394.086391
