#{"t_start": 1684901672.7506187, "env_id": "UR5OriReach-v1"}
r,l,t
-325.310831,100,455.976589
-313.533974,100,456.169783
-352.492417,100,456.515039
-306.792693,100,456.700532
-137.501266,100,456.886964
-334.701931,100,457.06083
-193.950548,100,457.222728
-314.84423,100,457.39108
-187.404409,100,474.486336
-363.418157,100,474.666801
-120.17121,100,474.896846
-287.82603,100,475.069475
-317.805086,100,475.239688
-314.982788,100,475.409687
-129.27295,100,475.576512
-628.756822,100,475.926512
-548.314538,100,476.101554
-82.836724,11,476.134988
-131.122066,100,493.456484
-242.941218,100,493.631111
-204.431621,100,493.853954
-435.247369,100,494.053297
-43.043347,8,494.077166
-96.131563,100,494.238857
-231.82462,100,494.40571
-21.021471,7,494.425886
-205.410994,100,494.638203
-307.352222,100,494.813501
-380.453489,100,512.226567
-211.639052,100,512.399829
-178.110691,100,512.577327
-191.266038,100,512.745885
-27.08553,6,512.773144
-22.186686,6,512.813029
-365.619625,100,513.024767
-20.132714,8,513.052429
-165.958847,100,513.237013
-23.796947,6,513.256699
-265.871336,100,530.581863
-164.454538,100,530.763816
-132.760209,100,530.942911
-125.557192,100,531.106378
-325.290458,100,531.31068
-178.287392,100,531.49615
-298.940315,100,531.67794
-157.337527,100,531.855214
-17.4946,7,531.87484
-201.490313,100,532.049673
-12.236202,4,549.962144
-212.053772,100,550.187427
-247.720387,100,550.434125
-174.679392,100,550.595659
-209.760029,100,550.779148
-43.718042,8,550.808681
-344.13314,100,550.971318
-155.168325,100,551.162952
-332.968199,100,551.35237
-156.513915,100,551.540456
-235.676124,100,570.187858
-399.744159,100,570.418409
-232.365777,100,570.601404
-16.508358,6,570.622253
-115.449924,100,570.807439
-187.928741,100,571.008814
-139.553515,100,571.220263
-445.529253,100,571.446505
-231.463066,100,571.6525
-439.081504,100,571.875937
-111.997221,100,590.358745
-132.186805,100,590.525406
-100.727366,100,590.704823
-363.929713,100,590.885769
-133.121385,100,591.092464
-54.007861,9,591.124205
-1027.351997,100,591.348006
-144.732253,100,591.538943
-232.787009,100,591.714877
-363.678869,100,591.894923
-596.048476,100,610.114912
-317.968529,100,610.300662
-216.525765,100,610.482174
-147.05988,100,610.674415
-725.136778,100,610.89073
-530.077947,100,611.109768
-145.398414,100,611.288337
-249.875339,100,611.578181
-262.242841,100,611.760419
-661.1993,100,611.969462
-128.45495,100,630.128926
-197.561623,100,630.307425
-198.222311,100,630.483803
-9.898563,4,630.502122
-202.327298,100,630.695813
-269.6466,100,630.87953
-93.074485,100,631.071585
-133.934382,100,631.249364
-160.107539,100,631.43326
-261.321919,100,631.604856
-116.153409,100,649.875132
-440.861314,100,650.053813
-167.053432,100,650.229022
-169.637932,100,650.41828
-50.87739,13,650.448888
-269.742119,100,650.63238
-301.48916,100,650.807185
-163.234192,100,650.985303
-21.636524,7,651.007241
-200.276559,100,651.187793
-221.004471,100,669.433313
-256.896926,100,669.616273
-379.530967,100,669.805558
-251.156008,100,669.97663
-288.631866,100,670.172269
-160.815357,100,670.351638
-219.802562,100,670.543998
-252.2978,100,670.724099
-222.565,100,670.889557
-166.839192,100,671.051914
-129.393224,100,689.154921
-27.213449,7,689.172671
-244.662525,100,689.525971
-325.829647,100,689.688536
-29.999031,8,689.707431
-18.58558,5,689.720592
-126.394798,100,689.985022
-190.764568,100,690.166512
-405.793258,100,690.348877
-22.880444,6,690.372017
-190.861961,100,709.066092
-35.489662,8,709.090532
-176.21957,100,709.29103
-24.788114,10,709.315302
-327.923147,100,709.506484
-773.573337,100,709.719911
-227.587745,100,709.890566
-297.42172,100,710.101279
-300.326089,100,710.330137
-40.052067,8,710.389819
-30.181009,9,735.152285
-204.020735,100,735.371229
-317.437072,100,735.553712
-639.499359,100,735.76896
-145.329222,100,735.950812
-270.640435,100,736.13081
-207.45659,100,736.298309
-280.01431,100,736.494204
-287.837955,100,736.662881
-262.631652,100,736.8349
-36.708163,8,755.049958
-41.553609,8,755.096241
-414.754125,100,755.312155
-200.466568,100,755.475662
-320.584703,100,755.681472
-457.301998,100,755.860566
-255.946299,100,756.051062
-18.220264,6,756.077206
-113.914364,100,756.248333
-152.610274,100,756.46396
-102.891693,100,774.921218
-344.962686,100,775.107126
-205.436555,100,775.277464
-478.906588,100,775.454956
-137.602123,100,775.630277
-44.673232,10,775.653533
-403.301955,100,775.85416
-230.745293,100,776.026887
-125.301428,100,776.199189
-741.973234,100,776.382479
-165.649879,100,795.034859
-292.404413,100,795.238071
-161.721906,100,795.418523
-184.018669,100,795.596807
-295.787453,100,795.77539
-31.158289,8,795.805272
-289.920069,100,796.005155
-37.0847,7,796.028589
-69.838174,14,796.07504
-211.089636,100,796.480818
-381.922529,100,815.188104
-213.124167,100,815.370169
-39.609277,9,815.397563
-333.398781,100,815.570292
-135.669958,100,815.758259
-162.45562,100,815.959827
-165.903687,100,816.141608
-213.636683,100,816.311478
-298.441404,100,816.622991
-182.691643,100,816.812869
-140.460862,100,835.614599
-175.557312,100,835.779073
-31.641462,7,835.796234
-141.080174,100,835.967553
-134.44751,100,836.14597
-226.618877,100,836.341547
-234.525353,100,836.513743
-33.068459,6,836.526918
-25.348423,6,836.54407
-168.24752,100,836.730897
-44.686956,7,854.980559
-210.873834,100,855.169975
-235.705412,100,855.341952
