#{"t_start": 1684835054.7685816, "env_id": "UR5OriReach-v1"}
r,l,t
-1147.281202,100,431.455338
-859.011098,100,431.639104
-1459.438579,100,448.171123
-641.725513,100,448.353024
-506.009864,100,448.534923
-1514.16064,100,448.72085
-1318.671392,100,448.903433
-793.391733,100,449.17266
-911.680655,100,449.354492
-938.883999,100,449.536718
-830.256391,100,449.707808
-542.698848,100,449.878185
-1386.128944,100,466.502646
-607.627501,100,466.670687
-1348.712407,100,466.848187
-1236.387718,100,467.025426
-1350.04689,100,467.20032
-1236.143637,100,467.381922
-690.938319,100,467.557845
-1306.443027,100,467.724374
-343.583147,100,467.904081
-497.982138,100,468.082665
-1337.792571,100,484.988992
-426.691513,100,485.195951
-401.873979,100,485.384758
-820.154683,100,485.609119
-294.185888,100,485.794002
-1122.369251,100,485.969356
-1229.788674,100,486.138427
-1000.838126,100,486.30178
-1012.565592,100,486.482688
-1232.869517,100,486.739888
-1224.226378,100,503.34375
-1274.788901,100,503.569504
-692.996308,100,503.762969
-1074.951714,100,503.944521
-699.579157,100,504.12967
-682.286698,100,504.305199
-724.870271,100,504.481506
-295.06247,100,504.657119
-616.007728,100,504.829965
-1147.171731,100,505.179306
-246.034145,100,522.028065
-495.512699,100,522.214983
-191.718844,100,522.3919
-903.440392,100,522.559764
-611.163671,100,522.753061
-857.038594,100,522.951004
-1065.199794,100,523.135449
-416.842902,100,523.300711
-1347.206058,100,523.472795
-211.073503,100,523.644435
-1035.734379,100,540.914585
-961.913914,100,541.144055
-737.660779,100,541.383211
-439.107296,100,541.591561
-1296.326875,100,541.814512
-1049.147413,100,542.046834
-1236.564985,100,542.24679
-692.673636,100,542.446427
-378.089521,100,542.61439
-1272.155542,100,542.802086
-1255.412104,100,559.860805
-722.28723,100,560.085921
-396.725357,100,560.24744
-944.184083,100,560.431492
-296.987759,100,560.616016
-899.529521,100,560.810553
-775.846753,100,560.998526
-1130.218467,100,561.197091
-266.99304,100,561.360028
-594.724504,100,561.549248
-972.075287,100,578.215357
-584.102903,100,578.438662
-371.570269,100,578.633891
-1074.117316,100,578.811963
-900.550836,100,578.9893
-697.041441,100,579.193904
-1202.970174,100,579.447436
-1421.804415,100,579.625745
-811.215917,100,579.813349
-1294.35016,100,580.001974
-155.820252,100,597.540635
-1144.155052,100,597.778676
-1489.445014,100,597.964381
-1141.350088,100,598.146636
-843.27316,100,598.322016
-574.699882,100,598.513077
-1425.287544,100,598.695506
-711.581931,100,598.895939
-1009.811205,100,599.080919
-969.299472,100,599.261748
-1355.940153,100,616.463571
-733.82311,100,616.640128
-1196.629036,100,616.807667
-519.452714,100,616.982861
-1305.585262,100,617.158739
-1319.637622,100,617.344923
-1237.760697,100,617.505927
-982.621299,100,617.681717
-275.606066,100,617.850703
-1003.429004,100,618.026302
-1057.016118,100,634.996645
-657.274883,100,635.16616
-1463.795748,100,635.339297
-606.814615,100,635.514783
-1327.100285,100,635.694606
-325.398825,100,635.852717
-1166.977377,100,636.030294
-1172.345667,100,636.277645
-1189.918957,100,636.495308
-431.964437,100,636.696825
-1143.84428,100,653.694269
-662.143064,100,653.871277
-408.794287,100,654.045426
-657.577312,100,654.228329
-1192.873721,100,654.408891
-970.700127,100,654.577339
-900.648927,100,654.760566
-687.524174,100,655.030577
-973.440456,100,655.198145
-412.980701,100,655.356824
-1279.89171,100,672.723862
-622.937451,100,672.89737
-1461.799759,100,673.077257
-1236.398462,100,673.244829
-502.697197,100,673.409855
-1375.374359,100,673.589544
-723.156796,100,673.838091
-1444.621653,100,674.044697
-909.890467,100,674.228504
-606.756132,100,674.410483
-523.113327,100,691.472272
-277.473467,100,691.656213
-1202.562361,100,691.837806
-678.987794,100,692.008785
-551.574899,100,692.18653
-1192.289506,100,692.418627
-443.484873,100,692.604974
-894.765873,100,692.791383
-1071.466842,100,692.981285
-1162.491855,100,693.17083
-302.920259,100,710.217931
-883.253806,100,710.398849
-901.180796,100,710.592174
-175.723642,100,710.775156
-760.69449,100,710.950793
-321.586892,100,711.124695
-1273.710357,100,711.301696
-588.203772,100,711.486166
-806.434108,100,711.695724
-1193.16956,100,711.907939
-1202.580016,100,729.13854
-1347.676582,100,729.375145
-966.089964,100,729.566444
-848.565502,100,729.752657
-867.127787,100,729.934855
-557.097694,100,730.108781
-875.19589,100,730.388044
-954.455862,100,730.57552
-1362.898213,100,730.741573
-228.36137,100,730.906307
-596.924925,100,748.177136
-1398.415186,100,748.356941
-547.50378,100,748.521927
-1217.564301,100,748.715843
-400.906183,100,748.891146
-1358.073584,100,749.067523
-1142.770467,100,749.259201
-987.742483,100,749.468025
-1265.219987,100,749.69976
-1235.613122,100,749.934848
-662.321307,100,767.046005
-1289.36624,100,767.234411
-638.954767,100,767.4131
-1324.420752,100,767.631907
-273.109987,100,767.816461
-706.851599,100,767.998288
-454.895114,100,768.186816
-732.569754,100,768.355543
-1186.053759,100,768.548726
-494.669191,100,768.737782
-825.405968,100,786.040735
