#{"t_start": 1695187051.7175174, "env_id": "UR5DynReach-v1"}
r,l,t
-1043.364827,5,247.444699
-803.170702,3,247.45852
-1140.757637,5,247.4789
-774.807665,3,247.491094
-828.225527,3,247.508424
-920.694621,5,257.803235
-1042.933063,5,257.819613
-878.92265,5,257.838242
-727.60251,3,257.84912
-856.483444,3,257.8655
-929.464,3,257.882793
-787.639816,3,257.898316
-942.448786,5,257.919327
-989.101224,5,257.936103
-914.324028,4,257.951741
-985.183003,5,268.362725
-914.805625,5,268.377815
-989.848687,5,268.394158
-813.485897,3,268.40672
-799.236379,3,268.424967
-821.107454,3,268.441059
-966.92085,5,268.461289
-856.91869,3,268.473954
-867.484569,3,268.49015
-798.460634,2,268.505631
-1017.34593,5,278.885515
-893.388475,3,278.897823
-811.955367,3,278.914975
-793.170687,3,278.93169
-1102.463769,5,278.951432
-998.962129,5,278.968673
-771.890489,3,278.981113
-834.869251,3,278.998381
-1017.243529,5,279.018227
-828.087037,3,279.030685
-744.828188,3,289.339074
-1093.928523,5,289.360732
-999.371675,5,289.376702
-802.072518,3,289.389234
-1189.408604,5,289.409835
-745.548298,3,289.421859
-825.981233,5,289.444327
-877.576491,5,289.461192
-862.71927,3,289.472128
-763.369756,3,289.489048
-1110.764071,5,299.817007
-1036.1159,5,299.833575
-871.300578,3,299.84723
-905.356078,3,299.863075
-936.523836,5,299.88442
-930.38991,3,299.897422
-1008.289147,5,299.917215
-1018.53135,5,299.933309
-847.68733,4,299.948354
-974.335526,4,299.96566
-759.805321,3,310.121703
-837.744154,5,310.141703
-1016.20585,5,310.157566
-1109.284791,6,310.175698
-1002.513835,5,310.190985
-869.881558,5,310.208391
-838.295566,2,310.218757
-794.441472,3,310.238826
-770.938965,2,310.252507
-920.906117,3,310.270614
-975.500353,5,320.415291
-851.767834,5,320.431967
-994.164414,5,320.451023
-891.998403,5,320.468896
-968.424341,5,320.484149
-1010.014912,5,320.498861
-846.333641,5,320.514977
-1026.874867,5,320.532079
-948.0443,3,320.544934
-930.541151,5,320.565459
-976.369643,5,330.639295
-1037.361824,5,330.6556
-994.425711,5,330.673472
-921.999766,5,330.688073
-948.831565,6,330.708395
-786.194969,3,330.718165
-871.507502,5,330.738923
-834.815907,3,330.752964
-832.864636,3,330.768917
-880.161975,3,330.785651
-910.417424,6,341.016471
-907.531408,6,341.031049
-823.150603,3,341.042623
-775.593977,3,341.060392
-972.896882,5,341.082924
-849.985379,4,341.096266
-1061.547569,6,341.115541
-902.609829,3,341.127134
-887.139001,5,341.1473
-1001.20134,5,341.164097
-882.666455,3,351.26731
-755.229417,4,351.285378
-998.394814,5,351.303133
-938.359091,5,351.322617
-878.203571,3,351.33492
-1043.259432,7,351.357083
-1083.634021,6,351.371727
-945.752504,6,351.388854
-925.247326,3,351.401598
-1047.198959,6,351.42361
-888.524531,3,361.475416
-817.814175,3,361.490137
-863.017643,5,361.510296
-958.493929,3,361.52492
-875.528802,4,361.542532
-883.339814,5,361.560993
-879.895404,3,361.575147
-806.434458,2,361.589332
-936.074751,5,361.611415
-830.246032,3,361.624479
-879.641158,3,371.934127
-832.22119,3,371.948498
